tabela,campo,descricao,tipo,notas,tratamento
fato_vendas,CODIGO,Código do produto,Integer,Chave para dim_produto,Intacto
fato_vendas,DIGITO,Dígito verificador do código do produto (0–9),Integer,Junta com CODIGO para unicidade,Intacto
fato_vendas,COD_EMPRESA,Código da loja,Integer,Chave para dimensao_lojas,Intacto
fato_vendas,DATA_VENDA,Data da linha de venda,Date,jan/2024 a dez/2025,Convertido para datetime
fato_vendas,QUANTIDADE_VENDIDA,"Quantidade vendida na unidade de venda (UN, JG, M2, etc.)",Float,Sempre ≥ 0,Intacto
fato_vendas,UNIDADE_DA_VENDA,"Unidade em que o produto foi vendido (UN=unidade, JG=jogo, M2=m², GL=galão…)",String,51 unidades possíveis — ver dim_unidades,Intacto
fato_vendas,EMBALAGEM,"Tipo de embalagem da venda: 0=embalagem padrão (99,97%), 1=embalagem alternativa (pack/caixa)",Integer,0 ou 1,Intacto
fato_vendas,CONVERSAO_VENDA_PARA_ARMAZENAGEM,Fator para converter QTD vendida em unidade de estoque. Ex: 12 = 1 caixa de 12 unidades,Float,"1 em 99,8% dos casos; máx=100",Intacto
fato_vendas,PRECO_UNIT_MEDIO,Preço unitário médio praticado na venda (R$),Float,Na unidade de venda,Intacto
fato_vendas,RECEITA,🆕 Campo derivado: QUANTIDADE_VENDIDA × PRECO_UNIT_MEDIO,Float,R$,Criado no tratamento
fato_vendas,QTD_ARMAZENAGEM,🆕 Campo derivado: QUANTIDADE_VENDIDA × CONVERSAO_VENDA_PARA_ARMAZENAGEM,Float,Unidade de estoque,Criado no tratamento
fato_vendas,ANO_MES,🆕 Período no formato YYYY-MM,String,Para agrupamentos mensais,Criado no tratamento
fato_vendas,FLAG_LOJA93,"🆕 Flag: 1 se loja 93 (atacado), 0 se loja física",Integer,0 ou 1,Criado no tratamento
fato_vendas,NIVEL_1,🔗 Categoria nível 1 do produto (join dim_produto),String,23 categorias,Enriquecido via join
fato_vendas,CD_CIDADE / CD_ESTADO,🔗 Cidade e estado da loja (join dim_lojas),String,"PE, BA, SE, PB, RN",Enriquecido via join
fato_compras,CODIGO,Código do produto comprado,Integer,329 SKUs únicos,Intacto
fato_compras,COD_EMPRESA,Código da loja que recebeu a compra,Integer,Chave para dim_lojas,Intacto
fato_compras,DATA_ENTRADA,Data de entrada da mercadoria no estoque,Date,jan/2024 a dez/2025,Convertido para datetime
